captured_datetime,match_datetime,game,player,market,type,line,best_price,bookie,qi,bet_size,final_stat,bucket,stat,pred,gap,support,win,profit,stake
2026-03-06 07:50:18,2026-03-08 19:20:00,St Kilda Saints v Collingwood Magpies,Bradley Hill,Tackles Over,Over,1.5,2.10,SportsBet,62.0,$30,1,Tackles,Tackles,1.4199,-0.08010000000000006,Wheelo neutral,False,-30.0,30.0
2026-03-06 07:50:18,2026-03-06 20:05:00,Gold Coast Suns v Geelong Cats,Jack Henry,Marks Over,Over,5.5,1.62,TAB,61.9,$40,4,Marks,Marks,5.4865,-0.013499999999999623,Wheelo neutral,False,-40.0,40.0
2026-03-06 07:50:18,2026-03-08 19:20:00,St Kilda Saints v Collingwood Magpies,Hugh Boxshall,Tackles Over,Over,5.5,1.95,Unibet,61.9,$35,6,Tackles,Tackles,4.2372,-1.2628000000000004,Wheelo strong against,True,33.25,35.0
2026-03-06 07:50:18,2026-03-07 19:35:00,Brisbane Lions v Western Bulldogs,Rhylee West,Tackles Over,Over,3.5,1.74,SportsBet,61.3,$35,3,Tackles,Tackles,3.46,-0.040000000000000036,Wheelo neutral,False,-35.0,35.0
2026-03-06 07:50:18,2026-03-07 19:35:00,Brisbane Lions v Western Bulldogs,Kai Lohmann,Tackles Over,Over,3.5,1.77,Unibet,61.2,$35,3,Tackles,Tackles,2.8234,-0.6766000000000001,Wheelo lean against,False,-35.0,35.0
2026-03-06 07:50:18,2026-03-06 20:05:00,Gold Coast Suns v Geelong Cats,Zach Guthrie,Marks Over,Over,5.5,1.61,SportsBet,61.1,$40,5,Marks,Marks,5.7935,0.29349999999999987,Wheelo neutral,False,-40.0,40.0
2026-03-06 07:50:18,2026-03-06 20:05:00,Gold Coast Suns v Geelong Cats,Mitchell Knevitt,Disposals Over,Over,14.5,1.62,SportsBet,61.0,$40,11,Disposals,Disposals,,,No Wheelo match,False,-40.0,40.0
2026-03-06 07:50:18,2026-03-06 20:05:00,Gold Coast Suns v Geelong Cats,Shaun Mannagh,Marks Over,Over,3.5,1.65,SportsBet,60.8,$40,3,Marks,Marks,3.4935,-0.00649999999999995,Wheelo neutral,False,-40.0,40.0
2026-03-06 07:50:18,2026-03-07 16:15:00,Greater Western Sydney Giants v Hawthorn Hawks,Nick Watson,Tackles Over,Over,3.5,2.80,SportsBet,60.8,$25,4,Tackles,Tackles,2.8265000000000002,-0.6734999999999998,Wheelo lean against,True,44.99999999999999,25.0
2026-03-06 07:50:18,2026-03-07 16:15:00,Greater Western Sydney Giants v Hawthorn Hawks,Harrison Himmelberg,Tackles Over,Over,1.5,1.85,SportsBet,60.8,$35,2,Tackles,Tackles,,,No Wheelo match,True,29.750000000000004,35.0
2026-03-06 07:50:18,2026-03-08 19:20:00,St Kilda Saints v Collingwood Magpies,Liam Ryan,Tackles Over,Over,1.5,1.77,SportsBet,60.3,$35,1,Tackles,Tackles,1.2069,-0.2930999999999999,Wheelo neutral,False,-35.0,35.0
2026-03-06 07:50:18,2026-03-07 19:35:00,Brisbane Lions v Western Bulldogs,Thomas Liberatore,Tackles Over,Over,7.5,2.00,SportsBet,59.9,$30,2,Tackles,Tackles,,,No Wheelo match,False,-30.0,30.0
2026-03-06 07:50:18,2026-03-06 20:05:00,Gold Coast Suns v Geelong Cats,Joel Jeffrey,Tackles Over,Over,2.5,2.75,Unibet,59.8,$25,2,Tackles,Tackles,1.7,-0.8,Wheelo lean against,False,-25.0,25.0
2026-03-06 07:50:18,2026-03-07 16:15:00,Greater Western Sydney Giants v Hawthorn Hawks,Lloyd Meek,Tackles Over,Over,3.5,1.68,SportsBet,59.8,$40,3,Tackles,Tackles,3.2535,-0.24650000000000016,Wheelo neutral,False,-40.0,40.0
2026-03-06 07:50:18,2026-03-07 16:15:00,Greater Western Sydney Giants v Hawthorn Hawks,Conor Nash,Tackles Over,Over,5.5,2.30,SportsBet,59.5,$30,3,Tackles,Tackles,4.9665,-0.5335000000000001,Wheelo lean against,False,-30.0,30.0
2026-03-06 07:50:18,2026-03-06 20:05:00,Gold Coast Suns v Geelong Cats,Oliver Henry,Marks Over,Over,3.5,1.95,SportsBet,59.4,$35,3,Marks,Marks,2.0714285714285716,-1.4285714285714284,Wheelo strong against,False,-35.0,35.0
2026-03-06 07:50:18,2026-03-08 19:20:00,St Kilda Saints v Collingwood Magpies,Jackson Macrae,Tackles Over,Over,5.5,2.23,Unibet,59.1,$30,6,Tackles,Tackles,,,No Wheelo match,True,36.9,30.0
2026-03-06 07:50:18,2026-03-07 16:15:00,Greater Western Sydney Giants v Hawthorn Hawks,Finn Callaghan,Tackles Over,Over,3.5,1.16,SportsBet,58.7,$80,4,Tackles,Tackles,4.6735,1.1734999999999998,Wheelo strong support,True,12.799999999999994,80.0
2026-03-06 07:50:18,2026-03-06 20:05:00,Gold Coast Suns v Geelong Cats,Max Holmes,Marks Over,Over,5.5,2.20,SportsBet,58.5,$30,8,Marks,Marks,5.9735,0.4734999999999996,Wheelo neutral,True,36.00000000000001,30.0
2026-03-06 07:50:18,2026-03-06 20:05:00,Gold Coast Suns v Geelong Cats,Mitchell Knevitt,Goals Scored Over,Over,0.5,2.01,Bet Right,58.4,$30,1,Goals,Goals_Avg,,,No Wheelo match,True,30.299999999999994,30.0
2026-03-06 07:50:18,2026-03-08 19:20:00,St Kilda Saints v Collingwood Magpies,Josh Daicos,Tackles Over,Over,1.5,1.37,SportsBet,58.0,$50,1,Tackles,Tackles,2.34,0.8399999999999999,Wheelo lean support,False,-50.0,50.0
2026-03-06 07:50:18,2026-03-06 20:05:00,Gold Coast Suns v Geelong Cats,Joel Jeffrey,Marks Over,Over,5.5,1.68,TAB,57.9,$40,5,Marks,Marks,5.9065,0.4065000000000003,Wheelo neutral,False,-40.0,40.0
2026-03-06 07:50:18,2026-03-06 20:05:00,Gold Coast Suns v Geelong Cats,Wil Powell,Marks Over,Over,3.5,1.55,SportsBet,57.4,$45,2,Marks,Marks,4.1065000000000005,0.6065000000000005,Wheelo lean support,False,-45.0,45.0
2026-03-06 07:50:18,2026-03-07 19:35:00,Brisbane Lions v Western Bulldogs,Buku Khamis,Goal Scorer Anytime,Over,0.5,2.60,TAB,57.4,$25,0,Goals,Goals_Avg,0.14285714285714288,-0.3571428571428571,Wheelo strong against,False,-25.0,25.0
2026-03-06 07:50:18,2026-03-07 19:35:00,Brisbane Lions v Western Bulldogs,Michael Sellwood,Goal Scorer Anytime,Over,0.5,2.60,TAB,57.4,$25,0,Goals,Goals_Avg,0.0,-0.5,Wheelo strong against,False,-25.0,25.0
2026-03-06 07:50:18,2026-03-06 20:05:00,Gold Coast Suns v Geelong Cats,Lawson Humphries,Marks Over,Over,5.5,1.86,SportsBet,57.2,$35,1,Marks,Marks,4.78,-0.7199999999999998,Wheelo lean against,False,-35.0,35.0
2026-03-06 07:50:18,2026-03-07 19:35:00,Brisbane Lions v Western Bulldogs,Darcy Fort,Tackles Over,Over,3.5,1.60,Unibet,57.2,$40,2,Tackles,Tackles,3.38,-0.1200000000000001,Wheelo neutral,False,-40.0,40.0
2026-03-06 07:50:18,2026-03-08 19:20:00,St Kilda Saints v Collingwood Magpies,Jack Higgins,Tackles Over,Over,1.5,1.60,SportsBet,57.2,$40,3,Tackles,Tackles,2.06,0.56,Wheelo lean support,True,24.000000000000004,40.0
2026-03-06 07:50:18,2026-03-07 16:15:00,Greater Western Sydney Giants v Hawthorn Hawks,Blake Hardwick,Tackles Over,Over,1.5,1.29,SportsBet,57.1,$60,2,Tackles,Tackles,2.4535,0.9535,Wheelo lean support,True,17.400000000000002,60.0
2026-03-06 07:50:18,2026-03-07 16:15:00,Greater Western Sydney Giants v Hawthorn Hawks,Stephen Coniglio,Tackles Over,Over,5.5,1.67,SportsBet,56.9,$40,2,Tackles,Tackles,4.6093,-0.8906999999999998,Wheelo lean against,False,-40.0,40.0
2026-03-06 07:50:18,2026-03-06 20:05:00,Gold Coast Suns v Geelong Cats,Bailey Humphrey,Marks Over,Over,3.5,1.96,SportsBet,56.9,$35,4,Marks,Marks,3.4249,-0.07509999999999994,Wheelo neutral,True,33.6,35.0
2026-03-06 07:50:18,2026-03-07 19:35:00,Brisbane Lions v Western Bulldogs,Jaspa Fletcher,Tackles Over,Over,1.5,1.48,Unibet,56.6,$45,1,Tackles,Tackles,2.17,0.6699999999999999,Wheelo lean support,False,-45.0,45.0
2026-03-06 07:50:18,2026-03-07 19:35:00,Brisbane Lions v Western Bulldogs,Sam Davidson,Tackles Over,Over,1.5,1.11,SportsBet,56.5,$95,2,Tackles,Tackles,2.4666,0.9666000000000001,Wheelo lean support,True,10.45000000000001,95.0
