captured_datetime,match_datetime,game,player,market,type,line,best_price,bookie,qi,bet_size,final_stat,stat,market_bucket,captured_qi_tier,wheelo_projection,season_projection,last5_projection,last10_projection,dynamic_sigma,probability_model,model_stat_edge,model_support,model_probability,market_implied_probability,model_edge,model_qi_num,model_qi_tier,bet_rule,win,profit
2026-03-02 11:51:47,2026-03-06 20:05:00,Gold Coast Suns v Geelong Cats,Ben Long,Goals Scored Over,Over,1.5,1.80,TAB,79.6,$35,2,Goals_Avg,Goals,QI 70-79,1.182,1.3,1.0,1.222,0.92,poisson,-0.318,Model strong against,0.3309,0.5556,-0.2247,18.5,QI <60,PASS,True,0.0
2026-03-02 11:51:47,2026-03-07 16:15:00,Greater Western Sydney Giants v Hawthorn Hawks,Josh Ward,Disposals Over,Over,24.5,2.45,Dabble AU,79.4,$25,18,Disposals,Disposals,QI 70-79,21.882,21.636,22.0,22.0,5.627,normal_cc,-2.618,Model lean against,0.3209,0.4082,-0.0873,38.8,QI <60,PASS,False,-0.0
2026-03-02 11:51:47,2026-03-06 20:05:00,Gold Coast Suns v Geelong Cats,Noah Anderson,Disposals Over,Over,29.5,2.85,Dabble AU,79.4,$25,24,Disposals,Disposals,QI 70-79,28.641,27.4,30.6,27.778,6.229,normal_cc,-0.859,Model neutral,0.4452,0.3509,0.0943,68.9,QI 60-69,LEAN,False,-0.0
2026-03-02 11:51:47,2026-03-07 16:15:00,Greater Western Sydney Giants v Hawthorn Hawks,Jack Ginnivan,Goals Scored Over,Over,1.5,3.00,TAB,79.2,$25,2,Goals_Avg,Goals,QI 70-79,0.637,0.818,0.4,0.7,0.952,negative_binomial,-0.863,Model strong against,0.149,0.3333,-0.1844,18.5,QI <60,PASS,True,0.0
2026-03-02 11:51:47,2026-03-07 16:15:00,Greater Western Sydney Giants v Hawthorn Hawks,Stephen Coniglio,Disposals Over,Over,19.5,1.80,TAB,78.3,$35,22,Disposals,Disposals,QI 70-79,16.387,16.556,16.0,16.556,5.673,normal_cc,-3.113,Model strong against,0.2916,0.5556,-0.264,21.5,QI <60,PASS,True,0.0
2026-03-02 11:51:47,2026-03-06 20:05:00,Gold Coast Suns v Geelong Cats,Touk Miller,Goal Scorer Anytime,Over,0.5,1.87,PointsBet (AU),78.0,$35,1,Goals_Avg,Goals,QI 70-79,0.481,0.545,0.4,0.5,0.886,negative_binomial,-0.019,Model neutral,0.3112,0.5348,-0.2236,38.5,QI <60,PASS,True,0.0
2026-03-02 11:51:47,2026-03-06 20:05:00,Gold Coast Suns v Geelong Cats,Max Holmes,Goal Scorer Anytime,Over,0.5,2.30,PointsBet (AU),77.6,$30,0,Goals_Avg,Goals,QI 70-79,0.325,0.273,0.4,0.3,0.88,negative_binomial,-0.175,Model lean against,0.1846,0.4348,-0.2502,26.5,QI <60,PASS,False,-0.0
2026-03-02 11:51:47,2026-03-07 16:15:00,Greater Western Sydney Giants v Hawthorn Hawks,Jake Riccardi,Goal Scorer Anytime,Over,0.5,1.56,PointsBet (AU),77.2,$45,3,Goals_Avg,Goals,QI 70-79,1.544,1.5,1.667,1.5,0.9,poisson,1.044,Model strong support,0.7865,0.641,0.1454,87.0,QI 80-89,A_BET,True,0.14
2026-03-02 11:51:47,2026-03-06 20:05:00,Gold Coast Suns v Geelong Cats,Ethan Read,Goals Scored Over,Over,1.5,2.65,Dabble AU,77.1,$25,0,Goals_Avg,Goals,QI 70-79,0.782,1.0,0.0,1.125,1.059,negative_binomial,-0.718,Model strong against,0.1929,0.3774,-0.1845,18.5,QI <60,PASS,False,-0.0
2026-03-02 11:51:47,2026-03-07 16:15:00,Greater Western Sydney Giants v Hawthorn Hawks,Mitchell Lewis,Goals Scored Over,Over,1.5,1.95,TAB,75.9,$35,1,Goals_Avg,Goals,QI 70-79,,,,,0.85,no_projection,,No Model data match,,0.5128,,0.0,QI <60,PASS_NO_MODEL,False,-0.0
